,I,iPeak,"X, V=40mV","Y, V=40mV","X, V=20mV","Y, V=20mV","X, V=0mV","Y, V=0mV","X, V=-20mV","Y, V=-20mV","X, V=-40mV","Y, V=-40mV","X, V=-60mV","Y, V=-60mV","X, V=-80mV","Y, V=-80mV"
0,0.0391735,0.006622517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.184861,0.016556291,275.0,0.0,275.0,0.0,275.0,0.0,275.0,0.0,275.0,0.0,275.0,0.0,275.0,0.0
2,0.354703,0.029801325,280.0,14.700647249190942,280.0,12.86766065649561,280.0,0.010402219140082991,280.0,8.820041608876561,280.0,6.7487286176606585,280.0,4.486939435968562,280.0,-0.01340730466944251
3,2.5846329999999997,0.142384106,300.97087378640776,14.461858529819697,296.1165048543689,12.58113730929265,291.26213592233006,10.581368469717987,296.1165048543689,8.533518261673603,291.26213592233006,6.486130374479892,298.54368932038847,4.342926490984745,288.83495145631076,2.224341192787797
4,3.2117259999999996,0.175496689,317.96116504854376,14.294382801664359,322.8155339805825,12.437008784096165,315.53398058252424,10.365926953305596,322.8155339805825,8.317961165048546,320.3883495145632,6.294267221451689,325.2427184466019,4.174988441978735,317.96116504854376,2.032478039759594
5,18.833568,0.536423841,344.66019417475724,14.245492371705966,351.9417475728155,12.268955154877489,347.08737864077665,10.316805362921869,344.66019417475724,8.174063800277395,349.5145631067962,6.17383263985206,356.7961165048543,4.078247803975961,349.5145631067962,2.0071659731853906
6,38.450825,0.69205298,361.6504854368933,14.173254738788723,415.0485436893203,12.14690245030051,385.9223300970873,10.26733703190014,376.21359223300965,8.148751733703191,376.21359223300965,6.148751733703191,393.2038834951456,4.052704576976424,385.9223300970873,1.934003698566805
7,170.532017,0.897350993,390.77669902912623,14.148058252427187,485.4368932038834,12.119741100323626,456.3106796116504,10.192556634304209,531.5533980582525,8.046116504854371,412.621359223301,6.0993989828941295,470.873786407767,4.0013869625520115,461.16504854368935,1.8828016643550658
8,394.173416,0.943708609,424.757281553398,14.098821081830792,631.0679611650485,12.017568192325477,657.7669902912622,10.063915857605181,720.873786407767,7.989482200647252,446.6019417475727,6.073971336107261,633.495145631068,3.8984049930651885,543.6893203883495,1.8550624133148403
9,1860.1234980000002,0.993377483,563.1067961165048,13.925566343042075,759.7087378640776,11.963823393435046,766.9902912621358,10.034905224225614,766.9902912621358,7.987286176606569,580.0970873786407,6.019995376791494,769.4174757281553,3.8443134535367562,662.6213592233008,1.801779935275082
10,3681.609618,1.0,764.5631067961165,13.677877947295427,803.3980582524272,10.96174294960703,803.3980582524272,9.247457235321317,825.2427184466018,7.07975034674064,759.7087378640776,5.892394822006475,827.6699029126213,3.412968099861306,764.5631067961165,1.7731160425335215
11,,,800.9708737864077,12.604715672676841,839.8058252427182,10.031437817845587,832.5242718446601,8.698451225150256,864.0776699029127,6.506472491909387,822.8155339805825,5.222723069810451,878.640776699029,3.05339805825243,844.6601941747574,1.5550161812297763
12,,,825.2427184466018,11.484512251502547,871.3592233009708,9.053744798890435,878.640776699029,7.86292186777624,902.9126213592233,5.885575589459087,866.504854368932,4.768261673601483,941.7475728155338,2.6694405917706927,922.3300970873787,1.3132223763291755
13,,,861.6504854368932,10.411349976883962,919.9029126213592,8.003814147018032,924.757281553398,6.955963938973651,953.8834951456307,5.264100785945448,915.0485436893204,4.313569116967178,1009.7087378640774,2.261442441054095,997.5728155339805,1.1191631992602904
14,,,910.1941747572815,9.004276467868703,956.3106796116505,7.168747110494687,966.019417475728,6.1920943134535396,997.5728155339805,4.642972723069814,963.5922330097086,3.8112575127138264,1087.3786407766988,1.829172445677301,1099.514563106796,0.8762135922330128
15,,,966.019417475728,7.620665742024968,1000.0,6.000000000000002,1014.5631067961165,5.356449375866854,1050.9708737864078,4.0690013869625545,1019.4174757281553,3.284789644012948,1189.3203883495148,1.4195561719833591,1247.5728155339805,0.6072584373555294
16,,,1014.5631067961165,6.356449375866855,1033.9805825242718,5.379334257975037,1082.5242718446602,4.400832177531209,1099.514563106796,3.614308830328252,1065.5339805825242,2.877831715210359,1286.407766990291,1.1054091539528468,1376.2135922330096,0.4582755432269998
17,,,1077.6699029126214,5.067730004623211,1084.9514563106795,4.662621359223303,1150.4854368932035,3.5642625982431824,1152.9126213592233,3.040337494220994,1131.0679611650482,2.446139620896906,1373.7864077669904,0.7679149329634782,1509.7087378640774,0.3566805362921919
18,,,1160.1941747572814,3.897133610725847,1148.0582524271842,3.850092464170137,1208.73786407767,2.8472029588534493,1208.73786407767,2.6091077207582103,1208.73786407767,1.9662505779010644,1473.3009708737864,0.5250809061488724,1662.621359223301,0.27797041146556367
19,,,1247.5728155339805,2.916782246879338,1208.73786407767,3.0138696255201136,1266.9902912621358,2.4158576051779974,1254.8543689320388,2.2021497919556197,1279.126213592233,1.6057558945908497,1594.660194174757,0.4240638002773949,1798.5436893203878,0.22387887193712785
20,,,1317.9611650485438,2.199144706426262,1293.6893203883494,2.2479195561719862,1322.8155339805826,1.9370087840961663,1317.9611650485438,1.8420018492834078,1366.5048543689318,1.19683310217291,1703.883495145631,0.29981507165973653,1924.757281553398,0.19405917706889042
21,,,1383.4951456310678,1.743643088303287,1381.0679611650485,1.6485205732778585,1412.621359223301,1.4565418400369872,1390.776699029126,1.505201109570045,1449.029126213592,0.8833795654184016,1822.8155339805824,0.27034211742950376,2046.1165048543685,0.18828016643551138
22,,,1470.873786407767,1.3823393435043947,1490.2912621359224,1.1433194637078152,1497.5728155339805,1.1191631992602886,1458.7378640776699,1.144822006472495,1543.6893203883492,0.6407766990291286,1951.4563106796113,0.21659731853906905,2150.4854368932038,0.13569116967175887
23,,,1553.398058252427,1.0926953305594136,1626.2135922330096,0.755894590846049,1601.9417475728153,0.7570503929727259,1533.9805825242718,0.879334257975037,1652.9126213592228,0.4450993989828973,2043.6893203883492,0.21220527045770154,2254.8543689320386,0.10691169671752476
24,,,1643.2038834951456,0.8503236245954735,1771.8446601941746,0.4870550161812339,1706.3106796116504,0.5616042533518293,1628.640776699029,0.636731391585764,1733.009708737864,0.3698566805362944,2160.1941747572814,0.1590383726306115,,
25,,,1735.4368932038833,0.6792649098474364,1893.2038834951452,0.40984743411928193,1805.8252427184466,0.4854368932038877,1725.7281553398057,0.4892510402219177,1837.378640776699,0.3410772075820674,2249.9999999999995,0.1309523809523867,,
26,,,1856.7961165048544,0.506819232547393,1997.5728155339802,0.3572584373555294,1924.757281553398,0.4083448913546057,1810.6796116504852,0.38996763754045816,1944.1747572815534,0.31218215441517216,,,,
27,,,1958.73786407767,0.40672676837725774,2118.932038834951,0.3276699029126249,2041.26213592233,0.3551779935275121,1924.757281553398,0.33691631992603277,2041.26213592233,0.23613037447989527,,,,
28,,,2046.1165048543685,0.2597087378640843,2220.873786407767,0.32281553398058804,2128.640776699029,0.32720758206195555,2038.8349514563101,0.30767452612113644,2128.640776699029,0.20815996301433515,,,,
29,,,2150.4854368932038,0.20711974110032827,,,2230.5825242718442,0.29854368932039677,2140.776699029126,0.2552011095700486,2228.155339805825,0.20342117429496653,,,,
30,,,2245.145631067961,0.20261211280629254,,,,,2247.5728155339802,0.22630605640314982,,,,,,
